snapshot_date,team,team_code,player,position_group,club,roster_status,availability_status,absence_note,expected_absence_matches,suspension_status,yellow_card_risk,starting_role,notes,base_roster_source,availability_source,source_url,last_checked_bj
2026-07-03,Senegal,SEN,Abdoulaye Seck,Defenders,Maccabi Haifa,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-02 12:36
2026-07-03,Senegal,SEN,Antoine Mendy,Defenders,Nice,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-02 12:36
2026-07-03,Senegal,SEN,El Hadji Malick Diouf,Defenders,West Ham United,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-02 12:36
2026-07-03,Senegal,SEN,Ismail Jakobs,Defenders,Galatasaray,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-02 12:36
2026-07-03,Senegal,SEN,Kalidou Koulibaly,Defenders,Al Hilal,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-02 12:36
2026-07-03,Senegal,SEN,Krépin Diatta,Defenders,AS Monaco,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-02 12:36
2026-07-03,Senegal,SEN,Mamadou Sarr,Defenders,Chelsea,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-02 12:36
2026-07-03,Senegal,SEN,Moussa Niakhaté,Defenders,Lyon,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-02 12:36
2026-07-03,Senegal,SEN,Assane Diao,Forwards,Como,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-02 12:36
2026-07-03,Senegal,SEN,Bamba Dieng,Forwards,Lorient,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-02 12:36
2026-07-03,Senegal,SEN,Cherif Ndiaye,Forwards,Samsunspor,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-02 12:36
2026-07-03,Senegal,SEN,Ibrahim Mbaye,Forwards,Paris Saint-Germain,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-02 12:36
2026-07-03,Senegal,SEN,Iliman Ndiaye,Forwards,Everton,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-02 12:36
2026-07-03,Senegal,SEN,Ismaïla Sarr,Forwards,Crystal Palace,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-02 12:36
2026-07-03,Senegal,SEN,Nicolas Jackson,Forwards,Chelsea,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-02 12:36
2026-07-03,Senegal,SEN,Sadio Mané,Forwards,Al Nassr,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-02 12:36
2026-07-03,Senegal,SEN,Mory Diaw,Goalkeepers,Le Havre AC,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-02 12:36
2026-07-03,Senegal,SEN,Yehvann Diouf,Goalkeepers,Nice,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-02 12:36
2026-07-03,Senegal,SEN,Édouard Mendy,Goalkeepers,Al Ahli,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-02 12:36
2026-07-03,Senegal,SEN,Pape Thiaw,Manager,,manager,active,,,,,manager,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-02 12:36
2026-07-03,Senegal,SEN,Bara Sapoko Ndiaye,Midfielders,Bayern Munich,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-02 12:36
2026-07-03,Senegal,SEN,Habib Diarra,Midfielders,Sunderland,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-02 12:36
