snapshot_date,team,team_code,player,position_group,club,roster_status,availability_status,absence_note,expected_absence_matches,suspension_status,yellow_card_risk,starting_role,notes,base_roster_source,availability_source,source_url,last_checked_bj
2026-07-04,Australia,AUS,Alessandro Circati,Defenders,Parma,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-03 13:22
2026-07-04,Australia,AUS,Aziz Behich,Defenders,Melbourne City,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-03 13:22
2026-07-04,Australia,AUS,Cameron Burgess,Defenders,Swansea City,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-03 13:22
2026-07-04,Australia,AUS,Harry Souttar,Defenders,Leicester City,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-03 13:22
2026-07-04,Australia,AUS,Jacob Italiano,Defenders,Grazer AK,final_squad,ruled_out,Injury absence; Australia confirmed he is unavailable for the Egypt knockout match,tournament,,,not_available,Do not project as starter or bench option,ESPN final 26-player squad list / FIFA submitted roster,Guardian / RotoWire team news,https://www.theguardian.com/football/2026/jul/03/egypt-mo-salah-fit-to-play-australia-socceroos-after-injury,2026-07-03 13:25
2026-07-04,Australia,AUS,Jason Geria,Defenders,Albirex Niigata,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-03 13:22
2026-07-04,Australia,AUS,Jordan Bos,Defenders,Feyenoord Rotterdam,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-03 13:22
2026-07-04,Australia,AUS,Kai Trewin,Defenders,New York City FC,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-03 13:22
2026-07-04,Australia,AUS,Lucas Herrington,Defenders,Colorado Rapids,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-03 13:22
2026-07-04,Australia,AUS,Milos Degenek,Defenders,Apoel Nicosia,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-03 13:22
2026-07-04,Australia,AUS,Ajdin Hrustic,Forwards,Heracles Almelo,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-03 13:22
2026-07-04,Australia,AUS,Awer Mabil,Forwards,Castellón,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-03 13:22
2026-07-04,Australia,AUS,Connor Metcalfe,Forwards,St. Pauli,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-03 13:22
2026-07-04,Australia,AUS,Cristian Volpato,Forwards,Sassuolo,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-03 13:22
2026-07-04,Australia,AUS,Mathew Leckie,Forwards,Melbourne City,final_squad,ruled_out,Injury absence; Australia confirmed he is unavailable for the Egypt knockout match and RotoWire lists him as done with the World Cup,tournament,,,not_available,Do not project as starter or bench option,ESPN final 26-player squad list / FIFA submitted roster,Guardian / RotoWire team news,https://www.theguardian.com/football/2026/jul/03/egypt-mo-salah-fit-to-play-australia-socceroos-after-injury,2026-07-03 13:25
2026-07-04,Australia,AUS,Mohamed Toure,Forwards,Norwich City,final_squad,fitness_doubt,Selection and fitness question entering the Egypt match; not in the main predicted XI,unknown,,,squad_option_uncertain,Use only as uncertain bench speed option,ESPN final 26-player squad list / FIFA submitted roster,Guardian match preview,https://www.theguardian.com/football/2026/jul/03/world-cup-2026-socceroos-knockout-round,2026-07-03 13:25
2026-07-04,Australia,AUS,Nestory Irankunda,Forwards,Watford,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-03 13:22
2026-07-04,Australia,AUS,Nishan Velupillay,Forwards,Melbourne Victory,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-03 13:22
2026-07-04,Australia,AUS,Tete Yengi,Forwards,Machida Zelvia,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-03 13:22
