snapshot_date,team,team_code,player,position_group,club,roster_status,availability_status,absence_note,expected_absence_matches,suspension_status,yellow_card_risk,starting_role,notes,base_roster_source,availability_source,source_url,last_checked_bj
2026-07-06,Norway,NOR,David Møller Wolfe,Defenders,Wolverhampton Wanderers,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-06 13:19
2026-07-06,Norway,NOR,Fredrik André Bjørkan,Defenders,Bodø/Glimt,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-06 13:19
2026-07-06,Norway,NOR,Henrik Falchener,Defenders,Viking,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-06 13:19
2026-07-06,Norway,NOR,Julian Ryerson,Defenders,Borussia Dortmund,final_squad,fitness_doubt,Thigh issue; not in projected XI against Brazil,unknown,,,not_expected_to_start,Pedersen expected to keep right-back role unless late fitness news changes,ESPN final 26-player squad list / FIFA submitted roster,RotoWire team news,https://www.rotowire.com/soccer/article/brazil-vs-norway-preview-predicted-lineups-team-news-tactical-analysis-2026-world-cup-round-of-16-121006,2026-07-05 13:45
2026-07-06,Norway,NOR,Kristoffer Ajer,Defenders,Brentford,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-06 13:19
2026-07-06,Norway,NOR,Leo Østigård,Defenders,Genoa,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-06 13:19
2026-07-06,Norway,NOR,Marcus Pedersen,Defenders,Torino,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-06 13:19
2026-07-06,Norway,NOR,Sondre Langås,Defenders,Derby County,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-06 13:19
2026-07-06,Norway,NOR,Torbjørn Heggem,Defenders,Bologna,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-06 13:19
2026-07-06,Norway,NOR,Alexander Sørloth,Forwards,Atlético Madrid,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-06 13:19
2026-07-06,Norway,NOR,Erling Haaland,Forwards,Manchester City,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-06 13:19
2026-07-06,Norway,NOR,Jørgen Strand Larsen,Forwards,Crystal Palace,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-06 13:19
2026-07-06,Norway,NOR,Egil Selvik,Goalkeepers,Watford,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-06 13:19
2026-07-06,Norway,NOR,Sander Tangvik,Goalkeepers,Hamburg SV,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-06 13:19
2026-07-06,Norway,NOR,Ørjan Nyland,Goalkeepers,Sevilla,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-06 13:19
2026-07-06,Norway,NOR,Stale Solbakken,Manager,,manager,active,,,,,manager,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-06 13:19
2026-07-06,Norway,NOR,Andreas Schjelderup,Midfielders,Benfica,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-06 13:19
2026-07-06,Norway,NOR,Antonio Nusa,Midfielders,RB Leipzig,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-06 13:19
2026-07-06,Norway,NOR,Fredrik Aursnes,Midfielders,Benfica,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-06 13:19
2026-07-06,Norway,NOR,Jens Petter Hauge,Midfielders,Bodø/Glimt,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-06 13:19
2026-07-06,Norway,NOR,Kristian Thorstvedt,Midfielders,Sassuolo,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-06 13:19
