snapshot_date,team,team_code,player,position_group,club,roster_status,availability_status,absence_note,expected_absence_matches,suspension_status,yellow_card_risk,starting_role,notes,base_roster_source,availability_source,source_url,last_checked_bj
2026-07-07,Spain,ESP,Aymeric Laporte,Defenders,Athletic Club,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-06 13:19
2026-07-07,Spain,ESP,Eric García,Defenders,Barcelona,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-06 13:19
2026-07-07,Spain,ESP,Marc Cucurella,Defenders,Chelsea,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-06 13:19
2026-07-07,Spain,ESP,Marc Pubill,Defenders,Atlético Madrid,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-06 13:19
2026-07-07,Spain,ESP,Marcos Llorente,Defenders,Atlético Madrid,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-06 13:19
2026-07-07,Spain,ESP,Pau Cubarsí,Defenders,Barcelona,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-06 13:19
2026-07-07,Spain,ESP,Pedro Porro,Defenders,Tottenham Hotspur,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-06 13:19
2026-07-07,Spain,ESP,Álex Grimaldo,Defenders,Bayer Leverkusen,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-06 13:19
2026-07-07,Spain,ESP,Borja Iglesias,Forwards,Celta Vigo,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-06 13:19
2026-07-07,Spain,ESP,Dani Olmo,Forwards,Barcelona,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-06 13:19
2026-07-07,Spain,ESP,Ferran Torres,Forwards,Barcelona,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-06 13:19
2026-07-07,Spain,ESP,Lamine Yamal,Forwards,Barcelona,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-06 13:19
2026-07-07,Spain,ESP,Mikel Oyarzabal,Forwards,Real Sociedad,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-06 13:19
2026-07-07,Spain,ESP,Nico Williams,Forwards,Athletic Club,final_squad,available_fitness_managed,Right adductor issue earlier in tournament; bench option against Austria and more likely impact substitute than starter,0,,,impact_sub_or_possible_starter,Monitor final XI; do not lock him as starter,ESPN final 26-player squad list / FIFA submitted roster,RotoWire team news,https://www.rotowire.com/soccer/article/portugal-vs-spain-preview-predicted-lineups-team-news-tactical-analysis-2026-world-cup-round-of-16-121162,2026-07-06 13:35
2026-07-07,Spain,ESP,Víctor Muñoz,Forwards,Osasuna,final_squad,fitness_doubt,Listed among Spain doubts by pre-match team news; not projected to start,unknown,,,not_expected_to_start,Do not use as primary attacking substitute unless late news clears him,ESPN final 26-player squad list / FIFA submitted roster,Barca Blaugranes team news,https://www.barcablaugranes.com/world-cup-2026/125684/portugal-spain-world-cup-2026-team-news-preview-lineups-prediction,2026-07-06 13:35
2026-07-07,Spain,ESP,Yéremy Pino,Forwards,Crystal Palace,final_squad,fitness_doubt,Listed among Spain doubts by pre-match team news; not projected to start,unknown,,,not_expected_to_start,Can be late wide option only if cleared,ESPN final 26-player squad list / FIFA submitted roster,Barca Blaugranes team news,https://www.barcablaugranes.com/world-cup-2026/125684/portugal-spain-world-cup-2026-team-news-preview-lineups-prediction,2026-07-06 13:35
2026-07-07,Spain,ESP,David Raya,Goalkeepers,Arsenal,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-06 13:19
2026-07-07,Spain,ESP,Joan García,Goalkeepers,Barcelona,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-06 13:19
2026-07-07,Spain,ESP,Unai Simón,Goalkeepers,Athletic Club,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-06 13:19
2026-07-07,Spain,ESP,Luis de la Fuente,Manager,,manager,active,,,,,manager,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-06 13:19
2026-07-07,Spain,ESP,Fabián Ruiz,Midfielders,PSG,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-06 13:19
2026-07-07,Spain,ESP,Gavi,Midfielders,Barcelona,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-06 13:19
2026-07-07,Spain,ESP,Martín Zubimendi,Midfielders,Arsenal,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-06 13:19
2026-07-07,Spain,ESP,Mikel Merino,Midfielders,Arsenal,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-06 13:19
2026-07-07,Spain,ESP,Pedri,Midfielders,Barcelona,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-06 13:19
2026-07-07,Spain,ESP,Rodri,Midfielders,Manchester City,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-06 13:19
2026-07-07,Spain,ESP,Álex Baena,Midfielders,Atlético Madrid,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-06 13:19
