snapshot_date,team,team_code,player,position_group,club,roster_status,availability_status,absence_note,expected_absence_matches,suspension_status,yellow_card_risk,starting_role,notes,base_roster_source,availability_source,source_url,last_checked_bj
2026-07-08,Switzerland,SUI,Aurèle Amenda,Defenders,Eintracht Frankfurt,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-07 11:59
2026-07-08,Switzerland,SUI,Eray Cömert,Defenders,Valencia,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-07 11:59
2026-07-08,Switzerland,SUI,Luca Jaquez,Defenders,Stuttgart,final_squad,fitness_doubt,Did not train before Colombia match and may not play,unknown,,,not_expected_to_start,Depth defender uncertainty,ESPN final 26-player squad list / FIFA submitted roster,ESPN/AP team news,https://africa.espn.com/football/story/_/id/49290967/switzerland-johan-manzambi-injury-colombia-2006-world-cup,2026-07-07 12:00
2026-07-08,Switzerland,SUI,Manuel Akanji,Defenders,Inter Milan,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-07 11:59
2026-07-08,Switzerland,SUI,Miro Muheim,Defenders,Hamburger SV,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-07 11:59
2026-07-08,Switzerland,SUI,Nico Elvedi,Defenders,Borussia Mönchengladbach,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-07 11:59
2026-07-08,Switzerland,SUI,Ricardo Rodriguez,Defenders,Real Betis,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-07 11:59
2026-07-08,Switzerland,SUI,Silvan Widmer,Defenders,Mainz,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-07 11:59
2026-07-08,Switzerland,SUI,Breel Embolo,Forwards,Rennes,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-07 11:59
2026-07-08,Switzerland,SUI,Cedric Itten,Forwards,Fortuna Dusseldorf,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-07 11:59
